Location ID,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,psm3id,eGRID,avert,ico9lon,ico9lat,ico9index,state,km2,cf,cost_trans_annual,km_urban_fromstation,km_site_spur,lcoe,transloss,cf_transloss,lcoe_transloss,binlcoe_1,binlcoe_2,binlcoe_3,binlcoe_4,binlcoe_5,binlcoe_6,binlcoe_7,binlcoe_8,binlcoe_9,binlcoe_10
1000005,38.93,-82.34,-5,212,-5,1012988,RFCW,Great Lakes - Mid-Atlantic,-82.34985455464229,38.93348792886092,4247,OH,191.5214907878181,0.21939133433258365,5.192813728042267,46.93199607020749,19.11539514963284,47.49492628736356,0.9958959951769147,0.21849095123833961,47.69064894063198,0,1,1,1,2,2,3,3,4,4
1000148,38.33,-82.34,-5,265,-5,1013131,RFCW,Great Lakes - Mid-Atlantic,-82.32836754717769,38.33172870302897,16937,WV,176.12001331731065,0.2215025828790091,2.8653385200087182,0.3693214955799484,16.956300754227236,45.8427238334288,0.9989234330688477,0.22126412052311673,45.89212978275307,0,0,0,1,1,1,2,2,3,3
1000194,40.61,-82.34,-5,371,-5,1013177,RFCW,Great Lakes - Mid-Atlantic,-82.34435911558019,40.62204796343047,4311,OH,191.70996835578782,0.21761897834601884,7.640193724590389,13.345795679743278,39.99092481390975,49.16554894097955,0.9966858016022933,0.21689774587667388,49.32903515023488,0,1,1,2,3,3,4,4,5,6
1000215,38.09,-82.34,-5,268,-5,1013198,RFCW,Great Lakes - Mid-Atlantic,-82.35249768912719,38.089649649811356,16868,WV,191.47103693453732,0.22151482715874782,5.648872756095956,0.3693214955799484,33.5800645398155,47.27465388847533,0.9978904777091605,0.22104753669310498,47.37459164557108,0,0,1,1,2,2,3,3,4,4
1000224,36.65,-82.34,-5,487,-5,1013207,RFCW,Great Lakes - Mid-Atlantic,-82.34974185797009,36.66866143303553,14483,VA,181.30289984707161,0.23509820722208544,12.232655813108597,28.0821164832444,66.20642854424565,47.74009264489045,0.994141166874154,0.23372080605778567,48.02144226156341,0,1,1,2,2,2,3,4,4,5
1000238,36.89,-82.34,-5,531,-5,1013221,RFCW,Great Lakes - Mid-Atlantic,-82.32021272515358,36.90099515048736,14471,VA,182.9440135351657,0.2301717232898491,11.018697767597295,28.0821164832444,58.956454201353566,48.15982758190623,0.9945916605139624,0.22892687647021132,48.421708620620535,0,1,1,2,2,3,3,4,5,5
1000385,37.25,-82.34,-5,559,-5,1013368,RFCW,Great Lakes - Mid-Atlantic,-82.35599863860055,37.24600125302507,3650,KY,55.01157670708257,0.22494883223298373,18.454687876969427,15.849444177799894,106.19694182427904,53.05156602871664,0.992416370313167,0.22324290359084326,53.45696384671253,0,1,2,3,4,5,6,7,7,8
1000385,37.25,-82.34,-5,559,-5,1013368,RFCW,Great Lakes - Mid-Atlantic,-82.35599863860055,37.24600125302507,3650,KY,55.01157670708257,0.22494883223298373,12.717213456996223,28.0821164832444,69.100293368345,50.13995796732463,0.9939613500036295,0.22359044496803648,50.444575100572614,0,1,2,2,3,4,5,5,6,6
1000385,37.25,-82.34,-5,559,-5,1013368,RFCW,Great Lakes - Mid-Atlantic,-82.35599863860055,37.24600125302507,3650,VA,131.86438992676426,0.22494883223298373,18.454687876969427,15.849444177799894,106.19694182427904,53.05156602871664,0.992416370313167,0.22324290359084326,53.45696384671253,0,1,2,3,4,5,6,7,7,8
1000385,37.25,-82.34,-5,559,-5,1013368,RFCW,Great Lakes - Mid-Atlantic,-82.35599863860055,37.24600125302507,3650,VA,131.86438992676426,0.22494883223298373,12.717213456996223,28.0821164832444,69.100293368345,50.13995796732463,0.9939613500036295,0.22359044496803648,50.444575100572614,0,1,2,2,3,4,5,5,6,6
